date,time,longitude,latitude,attack_type,nearest_country,shore_distance,attack_description,vessel_name,vessel_type
1993-07-15,,115.15,22.4,,CHN,29.71560231,,Mv Ko Mal San,
1993-08-13,,115.1,22.1333333,,CHN,50.45197051,,Mv Hermes Hope,
1993-08-20,,112.7467,-7.1885,,IDN,1.852101831,,Mt Kitsa,
1993-08-28,,115.4533,19.5783333,,CHN,298.1979649,,Mv A.J. 1,
1993-09-02,,98.6767,3.7766667,,IDN,4.815190419,,Mv Gold Future,
1993-09-09,,13.965,-5.915,,COD,86.69204428,,Mv Tilly,
1993-09-11,,105,1,,IDN,16.53721606,,Mv Kota Intan,
1993-09-21,,120.1667,17.7166667,,PHL,20.23933908,,Mv Inger Riis,
1993-09-27,,98.6767,3.7766667,,IDN,4.815190419,,Mv Macknight,
1993-09-29,,-46.33,-24.1483333,,BRA,14.29787153,,Mv Sao Paulo,
1993-10-08,,-46.33,-24.1483333,,BRA,14.29787153,,Mv Betelgeuse,
1993-10-17,,120.2867,18.28,,PHL,25.42184835,,Mt BP Admiral,
1993-10-19,,115.8667,-9.1666667,,IDN,32.97812517,,Gullhaar,
1993-10-22,,106.6667,8.2833333,,VNM,41.48872685,,Mv Nordsino,
1993-10-26,,-58.17,6.8216667,,GUY,0.6368436731,,Mv Cottica,
1993-10-28,,98.5833,-4.7333333,,IDN,256.5771124,,Mv Impala,
1993-11-02,,90.8333,22.0833,,BGD,6.0976986,,LPG/C Polar Endurance,
1993-11-05,,118.3667,19.8666667,,PHL,276.6421382,,Mv Kayax,
1993-11-12,,79.6487,6.9499,,LKA,22.08245376,,Mv Lanka Asitha,
1993-12-04,,120.1833,17.95,,PHL,26.17542983,,Mv Alam Teladan,
1993-12-06,,89.3333,1.8333333,,IDN,715.2368129,,Mv Usguaua,
1993-12-09,,98.6767,3.7766667,,IDN,4.815190419,,Mv Sea Laurel,
1994-01-02,,116.1,22.0166667,Attempted,CHN,85.61923805,,Francesia,
1994-01-05,,112.0333,13.6333333,Hijacked,VNM,253.5601658,,Jui Ho,
1994-01-09,,103.4,1.1833333,Attempted,IDN,5.975183863,,Joyama Maru,
1994-01-09,,103.4833,1.3,Boarded,MYS,2.5660371,,Gyoko Maru,
1994-01-09,,103.45,1.1666667,Boarded,IDN,7.813492156,,Hellespont P,
1994-01-10,,118.1167,18.5666667,Boarded,PHL,254.2741924,,Peder Most,
1994-01-11,,91.8267,22.2383333,Attempted,BGD,0.8313376995,,Moon Bird,
1994-01-12,,104.0833,1.2333333,Boarded,IDN,5.098464691,,Bophuthatbwana,
